cpplint/samples/codelite-sample/src/pptable.cpp:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:1:  Include the directory when naming header files  [build/include_subdir] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:6:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:7:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:8:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:8:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:8:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:9:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:9:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:10:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:11:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:11:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:12:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:12:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:12:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:13:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:13:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:14:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:18:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:19:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:20:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:20:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:20:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:21:  Magic number "97" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:21:  Magic number "122" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:21:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:21:  At least two spaces is best between code and comments  [whitespace/comments] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:22:  Magic number "65" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:22:  Magic number "90" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:22:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:23:  Magic number "48" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:23:  Magic number "57" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:23:  Magic number "9" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:23:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:24:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:25:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:26:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:26:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:27:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:27:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:27:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:28:  Magic number "97" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:28:  Magic number "122" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:28:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:28:  At least two spaces is best between code and comments  [whitespace/comments] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:29:  Magic number "65" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:29:  Magic number "90" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:29:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:30:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:31:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:34:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:35:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:36:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:37:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:38:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:39:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:41:  Magic number "2" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:41:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:43:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:44:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:44:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:44:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:45:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:46:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:47:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:47:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:47:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:48:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:49:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:50:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:50:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:51:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:51:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:51:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:52:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:53:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:54:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:56:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:57:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:58:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:58:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:58:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:59:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:60:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:61:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:62:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:62:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:63:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:63:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:63:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:64:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:65:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:66:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:67:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:67:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:67:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:68:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:69:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:70:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:70:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:71:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:71:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:71:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:72:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:73:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:74:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:75:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:75:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:76:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:76:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:76:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:77:  Tab found; better to use spaces  [whitespace/tab] [1]
